School ID,School Name,Borough,Building Code,Street Address,City,State,Zip Code,Latitude,Longitude,Phone Number,Start Time,End Time,Student Enrollment,Percent White,Percent Black,Percent Hispanic,Percent Asian,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Percent Tested
02M260,Clinton School Writers and Artists,Manhattan,M933,425 West 33rd Street,Manhattan,NY,10001,40.75321,-73.99786,212-695-9114,,,,,,,,,,,
06M211,Inwood Early College for Health and Information Technologies,Manhattan,M052,650 Academy Street,Manhattan,NY,10002,40.86605,-73.92486,718-935-3660  ,8:30 AM,3:00 PM,87,3.40%,21.80%,67.80%,4.60%,,,,
01M539,"New Explorations into Science, Technology and Math High School",Manhattan,M022,111 Columbia Street,Manhattan,NY,10002,40.71873,-73.97943,212-677-5190,8:15 AM,4:00 PM,1735,28.60%,13.30%,18.00%,38.50%,657,601,601,91.00%
02M294,Essex Street Academy,Manhattan,M445,350 Grand Street,Manhattan,NY,10002,40.71687,-73.98953,212-475-4773,8:00 AM,2:45 PM,358,11.70%,38.50%,41.30%,5.90%,395,411,387,78.90%
02M308,Lower Manhattan Arts Academy,Manhattan,M445,350 Grand Street,Manhattan,NY,10002,40.71687,-73.98953,212-505-0143,8:30 AM,3:00 PM,383,3.10%,28.20%,56.90%,8.60%,418,428,415,65.10%
02M545,High School for Dual Language and Asian Studies,Manhattan,M445,350 Grand Street,Manhattan,NY,10002,40.71687,-73.98953,212-475-4097,8:00 AM,3:35 PM,416,1.70%,3.10%,5.50%,88.90%,613,453,463,95.90%
01M292,Henry Street School for International Studies,Manhattan,M056,220 Henry Street,Manhattan,NY,10002,40.71376,-73.98526,212-406-9411,8:30 AM,3:30 PM,255,3.90%,24.40%,56.60%,13.20%,410,406,381,59.70%
01M696,Bard High School Early College,Manhattan,M097,525 East Houston Street,Manhattan,NY,10002,40.71896,-73.97607,212-995-8479,9:00 AM,3:50 PM,545,45.30%,17.20%,18.70%,17.10%,634,641,639,70.80%
02M305,Urban Assembly Academy of Government and Law,Manhattan,M445,350 Grand Street,Manhattan,NY,10002,40.71687,-73.98953,212-505-0745,8:32 AM,3:45 PM,329,2.70%,41.90%,49.20%,5.80%,389,395,381,80.80%
01M509,Marta Valle High School,Manhattan,M025,145 Stanton Street,Manhattan,NY,10002,40.72057,-73.98567,212-473-8152,8:00 AM,3:30 PM,363,2.50%,39.90%,51.20%,5.80%,438,413,394,35.60%
01M448,University Neighborhood High School,Manhattan,M446,200 Monroe Street,Manhattan,NY,10002,40.71233,-73.9848,212-962-4341,8:15 AM,3:15 PM,304,3.30%,25.00%,41.10%,29.90%,437,355,352,69.90%
02M543,New Design High School,Manhattan,M445,350 Grand Street,Manhattan,NY,10002,40.71687,-73.98953,212-475-4148,8:40 AM,2:56 PM,441,3.90%,30.80%,56.90%,5.90%,381,396,372,73.70%
02M298,Pace High School,Manhattan,M131,100 Hester Street,Manhattan,NY,10002,40.71641,-73.99268,212-334-4663,9:00 AM,3:15 PM,423,1.90%,28.10%,45.40%,13.70%,430,435,427,87.80%
02M420,High School for Health Professions and Human Services,Manhattan,M475,345 East 15th Street,Manhattan,NY,10003,40.73249,-73.98305,212-780-9175,9:00 AM,3:45 PM,1664,7.30%,18.90%,50.90%,22.40%,452,445,430,86.90%
02M399,High School for Language and Diplomacy,Manhattan,M460,40 Irving Place,Manhattan,NY,10003,40.73552,-73.9876,212-253-2480,8:00 AM,3:30 PM,437,5.70%,20.40%,40.30%,31.10%,446,433,411,70.20%
02M546,Academy for Software Engineering,Manhattan,M460,40 Irving Place,Manhattan,NY,10003,40.73552,-73.9876,212-253-3299,8:45 AM,3:36 PM,344,9.00%,28.80%,45.90%,11.00%,,,,
02M533,Union Square Academy for Health Sciences,Manhattan,M460,40 Irving Place,Manhattan,NY,10003,40.73552,-73.9876,212-253-3110,8:00 AM,3:49 PM,319,4.70%,20.10%,56.70%,16.00%,,,,
02M438,International High School at Union Square,Manhattan,M460,40 Irving Place,Manhattan,NY,10003,40.73552,-73.9876,212-533-2560,8:45 AM,3:05 PM,353,9.90%,14.20%,45.30%,30.60%,403,330,316,53.20%
02M407,Institute for Collaborative Education,Manhattan,M475,345 East 15th Street,Manhattan,NY,10003,40.73249,-73.98305,212-475-7972,8:00 AM,3:00 PM,482,56.50%,14.10%,14.90%,5.80%,501,550,541,78.60%
02M374,Gramercy Arts High School,Manhattan,M460,40 Irving Place,Manhattan,NY,10003,40.73552,-73.9876,212-253-7076,8:15 AM,3:30 PM,530,5.80%,42.50%,44.20%,3.60%,446,459,455,79.60%
02M551,Urban Assembly New York Harbor School,Manhattan,M877,550 Wheeler Avenue,Manhattan,NY,10004,40.69079,-74.01976,212-458-0800,8:15 AM,4:00 PM,447,18.80%,23.70%,51.70%,2.90%,446,453,428,78.80%
02M580,Richard R. Green High School of Teaching,Manhattan,M282,26 Broadway,Manhattan,NY,10004,40.70523,-74.01332,646-826-8174,8:30 AM,3:20 PM,566,2.70%,31.10%,58.80%,6.20%,411,415,409,60.00%
